ID	분류	화면명	설명	우선순위
SC-001	공통	랜딩 페이지	서비스 소개	P1
SC-002	공통	로그인	로그인 폼	P0
SC-003	공통	회원가입	회원가입 폼	P0
SC-004	스터디 탐색	스터디 탐색	공개 스터디 목록/검색 (지역/요일/시간대 필터)	P0
SC-005	스터디 탐색	스터디 상세	스터디 정보/스터디장 평점/가입 신청/댓글	P0
SC-006	스터디 탐색	모집글 작성	스터디 모집글 작성	P1
SC-007	스터디 탐색	내 신청 목록	가입 신청 현황	P1
SC-008	스터디 탐색	신청 관리	신청 승인/거절	P1
SC-009	스터디 탐색	모집글 템플릿	템플릿 선택/저장/불러오기	P2
SC-010	메인	홈 (팀 목록)	내 팀 목록	P0
SC-011	메인	사이드바	팀/채널 네비게이션	P0
SC-020	팀	팀 생성 모달	팀 생성 폼	P0
SC-021	팀	팀 설정	팀 정보 수정	P1
SC-022	팀	멤버 관리	멤버 목록/역할	P1
SC-023	팀	초대 모달	초대 링크 생성	P0
SC-024	팀	모집 연장	모집 기간 연장 설정 (1회 제한)	P1
SC-025	팀	임시 채널	인원 부족 시 확정자 논의 채널 (텍스트만)	P1
SC-026	팀	정식 전환 확인	임시→정식 채널 전환 확인 모달	P1
SC-030	채널	텍스트 채널	채팅 화면	P0
SC-031	채널	음성 채널	음성/화상 화면	P0
SC-032	채널	채널 설정	채널 정보 수정	P1
SC-040	미팅	미팅 진행 화면	화상 + STT 표시	P0
SC-041	미팅	미팅 기록 목록	과거 미팅 목록	P0
SC-042	미팅	미팅 상세	요약/액션아이템	P0
SC-050	데일리	데일리 리포트	오늘의 데일리 요약	P0
SC-051	데일리	데일리 히스토리	과거 데일리 목록	P1
SC-060	회고	회고 목록	회고 세션 목록	P1
SC-061	회고	회고 작성	KPT 작성 화면	P1
SC-062	회고	회고 분석	AI 패턴 분석	P2
SC-070	대시보드	팀 대시보드	팀 현황 요약	P1
SC-081	대시보드	개인 대시보드	개인 활동 요약	P2
SC-090	알고리즘	배틀 대기실	배틀 설정/대기	P2
SC-091	알고리즘	배틀 진행	코드 에디터+순위	P2
SC-092	알고리즘	배틀 결과	결과/피드백	P2
SC-100	설정	프로필 설정	내 정보 수정	P1
SC-101	설정	알림 설정	알림 on/off	P1
SC-102	설정	개인정보 설정	검색 허용 여부 등	P1
SC-110	연동	캘린더 연동	Google Calendar 연동	P1
SC-112	연동	연동 관리	외부 서비스 연동 현황	P1
SC-120	자료실	자료 목록	팀 학습 자료 목록	P1
SC-121	자료실	자료 상세	자료 내용/댓글	P1
SC-122	자료실	커리큘럼	주차별 학습 진도	P1
SC-123	자료실	진도 현황	멤버별 진도 대시보드	P1
SC-130	게이미피케이션	뱃지 목록	획득 가능 뱃지	P2
SC-131	게이미피케이션	랭킹	팀 내 포인트 랭킹	P2
SC-132	게이미피케이션	내 활동	내 뱃지/패널티/레벨	P2
SC-133	게이미피케이션	잔디 그래프	GitHub 스타일 활동 그래프	P1
SC-134	게이미피케이션	활동 통계	내 활동 통계/레벨/스트릭	P1
SC-140	AI	AI 챗봇	채널 내 AI 대화 UI	P1
