ID	분류	기능명	요구사항
U-FR-001	회원/인증	회원가입	시스템은 회원가입 시 입력된 이메일로 인증 메일을 발송하고, 인증 완료 후 계정이 활성화되어야 한다.
U-FR-002	회원/인증	이메일 인증	인증 메일은 발송 후 10분 이내에 인증을 완료해야 하며, 만료 시 재발송을 요청할 수 있어야 한다.
U-FR-003	회원/인증	로그인	사용자는 이메일과 비밀번호로 로그인할 수 있어야 한다.
U-FR-004	회원/인증	소셜 로그인	사용자는 네이버, 카카오, 구글 계정으로 간편하게 회원가입 및 로그인할 수 있어야 한다.
U-FR-005	회원/인증	로그아웃	사용자는 언제든지 로그아웃할 수 있어야 한다.
U-FR-006	회원/인증	프로필 설정	사용자는 닉네임, 프로필 이미지, 상태 메시지를 설정할 수 있어야 한다.
U-FR-007	회원/인증	온라인 상태	시스템은 사용자의 온라인/오프라인/자리비움 상태를 실시간으로 표시해야 한다.
U-FR-008	스터디 탐색	스터디 탐색	사용자는 공개된 스터디/팀 목록을 탐색할 수 있어야 한다.
U-FR-009	스터디 탐색	스터디 검색	사용자는 키워드, 카테고리(알고리즘/CS/면접 등), 기술스택으로 스터디를 검색할 수 있어야 한다.
U-FR-010	스터디 탐색	스터디 필터	사용자는 모집중/진행중, 온라인/오프라인/혼합, 지역, 요일, 시간대 등으로 스터디를 필터링할 수 있어야 한다.
U-FR-011	스터디 탐색	스터디 상세 조회	사용자는 스터디의 상세 정보(설명, 규칙, 일정, 현재 멤버 수, 스터디장 평점 등)를 조회할 수 있어야 한다.
U-FR-012	스터디 탐색	스터디 가입 신청	사용자는 관심 있는 스터디에 가입 신청을 할 수 있어야 한다. 신청 시 자기소개를 작성할 수 있다.
U-FR-013	스터디 탐색	신청 관리	스터디장은 가입 신청 목록을 확인하고 승인/거절할 수 있어야 한다.
U-FR-013-1	스터디 탐색	신청 알림	가입 신청이 들어오면 스터디장에게 알림이 발송되어야 한다.
U-FR-013-2	스터디 탐색	수락 알림	스터디장이 신청을 수락하면 신청자에게 "수락되었습니다" 알림이 발송되어야 한다.
U-FR-013-3	스터디 탐색	거절 알림	스터디장이 신청을 거절하면 신청자에게 "거절되었습니다 + 사유" 알림이 발송되어야 한다. 거절 시 사유 입력은 필수이다.
U-FR-013-4	스터디 탐색	재신청 가능	거절된 신청자는 자기소개를 보완하여 다시 신청할 수 있어야 한다.
U-FR-013-5	스터디 탐색	내 신청 목록	사용자는 홈에서 내 스터디 신청 목록을 확인하고 거절 사유 피드백을 받을 수 있어야 한다.
U-FR-014	스터디 탐색	모집글 작성	스터디장은 스터디 모집글을 작성할 수 있어야 한다. (제목, 소개, 모집 인원, 진행 방식, 지역, 일정, 사용 교재/자료, 스터디 목표, 예상 난이도, 사전 지식, 진행 방식 상세)
