ID	분류	화면명	설명
SC-001	공통	랜딩 페이지	서비스 소개
SC-002	공통	로그인	로그인 폼
SC-003	공통	회원가입	회원가입 폼
SC-004	스터디 탐색	스터디 탐색	공개 스터디 목록/검색 (지역/요일/시간대 필터)
SC-005	스터디 탐색	스터디 상세	스터디 정보/스터디장 평점/가입 신청/댓글
SC-005-1	완료스터디	스터디 리뷰	스터디 리뷰 작성/조회 화면
SC-005-2	스터디 탐색	스터디장 프로필	스터디장 정보 + 운영한 스터디 목록 + 리뷰 조회
SC-005-3	완료스터디	완료 스터디 상세	완료된 스터디 정보/리뷰 목록/활동 통계
SC-006	스터디 탐색	모집글 작성	스터디 모집글 작성
SC-007	스터디 탐색	내 신청 목록	가입 신청 현황
SC-008	스터디 탐색	신청 관리	신청 승인/거절
SC-009	스터디 탐색	모집글 템플릿	템플릿 선택/저장/불러오기
SC-010	메인	홈 (팀 목록)	내 팀 목록
SC-011	메인	사이드바	팀/채널 네비게이션
SC-024	팀	모집 연장	모집 기간 연장 설정 (1회 제한)
SC-025	팀	임시 채널	인원 부족 시 확정자 논의 채널 (텍스트만)
SC-026	팀	정식 전환 확인	임시→정식 채널 전환 확인 모달
SC-030	채널	텍스트 채널	채팅 화면
SC-031	채널	음성 채널	음성/화상 화면
SC-032	채널	채널 설정	채널 정보 수정
SC-040	미팅	미팅 진행 화면	화상 + STT 표시
SC-041	미팅	미팅 기록 목록	과거 미팅 목록
SC-042	미팅	미팅 상세	요약/액션아이템
SC-050	데일리/회고/자료	데일리 리포트	오늘의 데일리 요약
SC-051	데일리/회고/자료	데일리 히스토리	과거 데일리 목록
SC-060	데일리/회고/자료	회고 목록	회고 세션 목록
SC-061	데일리/회고/자료	회고 작성	KPT 작성 화면
SC-062	데일리/회고/자료	회고 분석	AI 패턴 분석
SC-070	대시보드	팀 대시보드	팀 현황 요약
SC-081	대시보드	개인 대시보드	개인 활동 요약
SC-082	대시보드	IT 뉴스	IT/개발 뉴스 피드
SC-083	대시보드	인기 스터디 모집글	인기 스터디 모집글 목록
SC-100	설정/연동	프로필 설정	내 정보 수정
SC-101	설정/연동	알림 설정	알림 on/off
SC-102	설정/연동	개인정보 설정	검색 허용 여부 등
SC-110	설정/연동	캘린더 연동	Google Calendar 연동
SC-112	설정/연동	연동 관리	외부 서비스 연동 현황
SC-120	데일리/회고/자료	자료 목록	팀 학습 자료 목록
SC-121	데일리/회고/자료	자료 상세	자료 내용/댓글
SC-122	데일리/회고/자료	커리큘럼	주차별 학습 진도
SC-123	데일리/회고/자료	진도 현황	멤버별 진도 대시보드
SC-130	게이미피케이션	뱃지 목록	획득 가능 뱃지
SC-131	게이미피케이션	랭킹	팀 내 포인트 랭킹
SC-132	게이미피케이션	내 활동	내 뱃지/패널티/레벨
SC-133	게이미피케이션	잔디 그래프	GitHub 스타일 활동 그래프
SC-134	게이미피케이션	활동 통계	내 활동 통계/레벨/스트릭
SC-141	AI	일정 추천	미팅 시간 추천 결과
SC-142	AI	피드백 모달	AI 결과물 피드백 입력
SC-144	AI	미팅 결과 (요약+전문)	요약/전문/액션아이템 탭
SC-150	어드민	어드민 대시보드	전체 통계
SC-151	어드민	사용자 관리	사용자 목록/제재
SC-152	어드민	신고 관리	신고 목록/처리
